Title,Composer,Difficulty,Reading,Max Position,Era,status,source,pdf_path,token_path,gp_path,scorehash,xml_path,file_path
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 13. Capricie",Mauro Giuliani,8,5,XII,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 13 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 14. Capricie",Mauro Giuliani,7,4,VII,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 14 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 15. Rondo",Mauro Giuliani,5,3,V,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 15 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 16. Rondo",Mauro Giuliani,6,2,VIII,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 16 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 17. Preludi",Mauro Giuliani,11,4,X,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 17 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 18. Preludi",Mauro Giuliani,10,4,VIII,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 18 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 19. Preludi",Mauro Giuliani,9,4,VII,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 19 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 2. Cadenze",Mauro Giuliani,13,2,III,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 2 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 20. Preludi",Mauro Giuliani,10,3,IV,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 20 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 21. Preludi",Mauro Giuliani,10,4,XIV,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 21 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 22. Preludi",Mauro Giuliani,4,3,I,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 22 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 23. Preludi",Mauro Giuliani,7,3,V,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 23 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 24. Preludi",Mauro Giuliani,10,4,IX,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 24 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 3. Cadenze",Mauro Giuliani,2,2,III,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 3 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 4. Cadenze",Mauro Giuliani,4,2,II,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 4 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 5. Cadenze",Mauro Giuliani,3,3,IV,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 5 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 6. Cadenze",Mauro Giuliani,5,2,II,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 6 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 7. Cadenze",Mauro Giuliani,4,2,III,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 7 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 8. Cadenze",Mauro Giuliani,5,2,IV,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 8 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 9. Cadenze",Mauro Giuliani,4,3,IV,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 9 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
Cadiz from Suite Espanola,Isaac Albeniz,16,9,All,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Cadiz by Isaac Albeniz.pdf,,,,,
Can She Excuse (Earl of Essex's Galliard),John Dowland,9,7,III,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Can She Excuse by John Dowland.pdf,,,,,
"Can She Excuse, Poulton 42",John Dowland,8,6,IV,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/dowland-can-she-excuse.pdf,,,,,
Canarios,Gaspar Sanz,11,3,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Canarios by Gaspar Sanz.pdf,,,,,
Canarios,Gaspar Sanz,10,3,VIII,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/S/Sanz, Gaspar/Sanz, Gaspar - CANARIOS  (2).gp3.tokens.txt","datasets/DadaGP-v1.1/S/Sanz, Gaspar/Sanz, Gaspar - CANARIOS  (2).gp3",,,
Canarios,Gaspar Sanz,12,3,VII,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/S/Sanz, Gaspar/Sanz, Gaspar - Canarios.gp3.tokens.txt","datasets/DadaGP-v1.1/S/Sanz, Gaspar/Sanz, Gaspar - Canarios.gp3",,,
Canarios,Gaspar Sanz,10,4,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Theme from Canarios by Gaspar Sanz.pdf,,,,,
Canarios,Gaspar Sanz,11,4,IX,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/S/Sanz, Gaspar/Sanz, Gaspar - Suite EspaSSola_ No. 9 Canarios.gp3.tokens.txt","datasets/DadaGP-v1.1/S/Sanz, Gaspar/Sanz, Gaspar - Suite EspaSSola_ No. 9 Canarios.gp3",,,
Cancion de Cuna (Cradle Song),Agustin Barrios Mangore,8,7,XII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Cancion De Cuna by Agustin Barrios Mangore.pdf,,,,,
Cancion de la Hilandera,Agustin Barrios Mangore,9,6,X,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Cancion de la Hilandera by Agustin Barrios Mangore.pdf,,,,,gaps_v1/musicxml/Cancion de la Hilandera by Agustin Barrios Mangore.xml
Cancion Del Emperador,Luys de Narvaez,7,5,VII,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Cancion Del Emperador by Luis de Narvaez.pdf,,,,,
Cancion O Tocata,Santiago de Murcia,4,2,III,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Cancion O Tocata by Santiago De Murcia.pdf,,,,,
Canciones,Gaspar Sanz,1,2,II,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Canciones by Gaspar Sanz.pdf,,,,,
Cantabile,Dionisio Aguado,2,2,II,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/A/Aguado, Dionso/Aguado, Dionso - Cantabile.gp3.tokens.txt","datasets/DadaGP-v1.1/A/Aguado, Dionso/Aguado, Dionso - Cantabile.gp3",,,
Canticum,Leo Brouwer,17,10,X,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Canticum by Leo Brouwer.pdf,,,,,
"Canzonetta from the String Quartet, Op. 12",Felix Mendelssohn,9,5,XIV,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Canzonetta by Felix Mendelssohn.pdf,,,,,
Caprice,Matteo Carcassi,2,2,VIII,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Caprice in D Minor by Matteo Carcassi.pdf,,,,,
"Caprice, Op. 100 no. 13",Mauro Giuliani,8,5,XII,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/giuliani-op100-13.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Caprice, Op. 20 no. 2",Luigi Legnani,8,4,XII,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Caprice Opus 20 No 2 by Luigi Rinaldo Legnani.pdf,,,,,gaps_v1/musicxml/opus-20-no-7-legnani.xml
"Caprice, Op. 20 no. 2",Luigi Legnani,7,4,XII,Classical,found,gaps,,,,wy1wc,datasets/gaps_v1/readable_musicxml/Luigi Rinaldo Legnani - Caprice Opus 20 No 2.xml,gaps_v1/musicxml/opus-20-no-7-legnani.xml
"Caprice, Op. 20 no. 28",Luigi Legnani,7,6,V,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 20 No 28 Caprice by Luigi Legnani.pdf,,,,,gaps_v1/musicxml/opus-20-no-7-legnani.xml
"Caprice, Op. 20 no. 7",Luigi Legnani,10,5,X,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 20 No 7 Caprice by Luigi Legnani.pdf,,,,,gaps_v1/musicxml/opus-20-no-7-legnani.xml
Capricho Arabe,Francisco Tarrega,13,7,XII,Romantic,found,dada_gp,,"datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Capricho Arabe.gp3.tokens.txt","datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Capricho Arabe.gp3",,,
Capricho Espanol,Agustin Barrios Mangore,9,7,X,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Capricho Espanol by Agustin Barrios Mangore.pdf,,,,,
Carora (Valse Venezolano),Antonio Lauro,14,7,All,Modern,found,dada_gp,,"datasets/DadaGP-v1.1/L/Lauro, Antonio/Lauro, Antonio - Carora (Valse Venezolano).gp4.tokens.txt","datasets/DadaGP-v1.1/L/Lauro, Antonio/Lauro, Antonio - Carora (Valse Venezolano).gp4",,,
Castles of Spain: Alba de Tormes (Trova),F. Moreno-Torroba,7,4,IX,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Castles Of Spain Alba De Tormes Trova by Federico Moreno Torroba.pdf,,,,,
Castles of Spain: Alcaniz (Festiva),F. Moreno-Torroba,10,7,VII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Castles Of Spain Alcaniz Festiva by Federico Moreno Torroba.pdf,,,,,
Castles of Spain: Alcazar de Segovia (Llamada),F. Moreno-Torroba,12,8,IX,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Castles Of Spain Alcazar De Segovia Ilamada by Federico Moreno Torroba.pdf,,,,,
Castles of Spain: Manzanares el Real (A la Moca Fermosa),F. Moreno-Torroba,8,5,X,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Castles Of Spain Manzanares El Real by Federico Moreno Torroba.pdf,,,,,
Castles of Spain: Montemayor (Romance de los Pinos),F. Moreno-Torroba,8,4,IX,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Romance De Los Pinos by Frederico Moreno Torroba.pdf,,,,,
Castles of Spain: Siguenza (La Infanta Dureme),F. Moreno-Torroba,8,5,VII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Castles Of Spain Siguenza La Infanta Duerme by Federico Moreno Torroba.pdf,,,,,
Castles of Spain: Torija (Elegia),F. Moreno-Torroba,7,6,IX,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Castles Of Spain Torija Elegia by Federico Moreno Torroba.pdf,,,,,
Castles of Spain: Turegano (Serranilla),F. Moreno-Torroba,11,7,X,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Castles Of Spain Turegano by Federico Moreno Torroba.pdf,,,,,
Choros,Domingo Semenzato,5,3,VII,Modern,found,dada_gp,,"datasets/DadaGP-v1.1/S/Semenzato, Domingos/Semenzato, Domingos - Choros.gp4.tokens.txt","datasets/DadaGP-v1.1/S/Semenzato, Domingos/Semenzato, Domingos - Choros.gp4",,,
Choros No. 1,Heitor Villa-Lobos,10,6,VIII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Choros No 1 by Heitor Villa-Lobos.pdf,,,,,
Cinco Piezas para guitarra: I. Campero,Astor Piazzolla,12,7,All,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Cinco Piezas Para Guitarra I Campero by Astor Piazzolla.pdf,,,,,
Cinco Piezas para guitarra: II. Romantico,Astor Piazzolla,11,7,X,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Romantico by Astor Piazzolla.pdf,,,,,
Cinco Piezas para guitarra: III. Acentuado,Astor Piazzolla,14,8,XIII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Acentuado by Astor Piazzolla.pdf,,,,,
Cinco Piezas para guitarra: IV. Triston,Astor Piazzolla,13,7,XII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Triston by Astor Piazzolla.pdf,,,,,
Cinco Piezas para guitarra: V. Compadre,Astor Piazzolla,11,7,X,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Compadre by Astor Piazzolla.pdf,,,,,
Cinq Preludes: Prelude No.  1,Heitor Villa-Lobos,9,7,All,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Prelude No 1 E Minor by Heitor Villa Lobos.pdf,,,,,
Cinq Preludes: Prelude No.  4,Heitor Villa-Lobos,9,6,XII,Modern,found,dada_gp,,"datasets/DadaGP-v1.1/V/Villa/Villa-Lobos, Heitor - Prelude n-4 in Em.gp4.tokens.txt","datasets/DadaGP-v1.1/V/Villa/Villa-Lobos, Heitor - Prelude n-4 in Em.gp4",,,
Clair de Lune,Claude Debussy,14,7,All,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Clair de Lune by Claude Debussy.pdf,,,,,
Clarin de las mosqueteros del rey de Francia (Bugle from the French King's Musketeers),Gaspar Sanz,2,2,III,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Clarin de los Mosqueteros del Rey de Francia by Gaspar Sanz.pdf,,,,,
"Clarines y trompetas con canciones muy curiosas Espanolas y de estranjeras naciones (Bugles and Trumpets with Very Interesting Spanish Songs, as well as Songs from Other Foreign Countries)",Gaspar Sanz,3,2,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Clarines Y Trompetas by Gaspar Sanz.pdf,,,,,
Come Again,John Dowland,9,4,V,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Come Again by John Dowland.pdf,,,,,
Confesion,Agustin Barrios Mandore,10,7,XI,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/barrios-confesion.pdf,,,,,
Contemplacion,Agustin Barrios Mandore,13,7,All,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Contemplacion (Vals et Tremelo) by Agustin Barrios Mangore.pdf,,,,,
"Cordoba (from the ""Suite Andina"")",Agustin Barrios Mandore,10,6,All,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/barrios-cordoba.pdf,,,,,
Cordoba from Antos de Espana,Isaac Albeniz,16,9,All,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Cordoba by Issac Albeniz.pdf,,,,,
Courante,Silvius Leopold Weiss,6,3,III,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/W/Weiss, Silvius Leopold/Weiss, Silvius Leopold - Courante.gp3.tokens.txt","datasets/DadaGP-v1.1/W/Weiss, Silvius Leopold/Weiss, Silvius Leopold - Courante.gp3",,,
"Courante from Cello Suite No. III, BWV 1009",J.S. Bach,9,4,IX,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV 1009 Courante by Johann Sebastian Bach.pdf,,,,,
Dance,Hans Neusidler,1,1,I,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Italian Dance by Hans Neusidler.pdf,,,,,
Dance de las hachas (Dance of the Axes),Gaspar Sanz,3,1,I,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Dance de las Hachas by Gapsar Sanz.pdf,,,,,
Dance of the Miller from The Three-Cornered Hat,Manuel de Falla,8,4,VIII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Dance of the miller by Manual de Falla.pdf,,,,,
Dance of the Reed Flutes (from The Nutcracker); Op. 71,Peter Ilyitch Tchaikovsky,5,3,III,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Waltz Of The Flowers From The Nutcracker Ballet (Opus 71) by Pyotr Ilyich Tchaikovsky.pdf,,,,,
"Dancing Game: Rialto Bridge (Three Venetian Scenes, No. 2)",Paul Fetler,12,6,X,Modern,found,dada_gp,,"datasets/DadaGP-v1.1/G/Gilbert, Paul/Gilbert, Paul - Paul Gilbert #Lesson 02#.gp3.tokens.txt","datasets/DadaGP-v1.1/G/Gilbert, Paul/Gilbert, Paul - Paul Gilbert #Lesson 02#.gp3",,,
Danza,Anonymous,5,3,V,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Danza Cubana by Anonymous.pdf,,,,,
Danza,Agustin Barrios Mangore,7,6,X,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/barrios-danza.pdf,,,,,
Danza,Agustin Barrios Mandore,8,5,X,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Cueca (Danza de Chile) by Augustin Barrios Mangore.pdf,,,,,
Danza Caracteristica (para el quitate de la acera),Leo Brouwer,7,8,X,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Danza Caracteristica by Leo Brouwer.pdf,,,,,
Danza Del Altiplano (Sobre un tema folklorico) (No.1 des Trois Pieces Latino-Americaines),Leo Brouwer,9,5,XII,Modern,found,dada_gp,,"datasets/DadaGP-v1.1/B/Brouwer, Leo/Brower, Leo - Estudios sencillos I.gp3.tokens.txt","datasets/DadaGP-v1.1/B/Brouwer, Leo/Brower, Leo - Estudios sencillos I.gp3",,,
Danza Espanola No. 3 (Fandango),Enrique Granados,8,5,XII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Danza Espanola No 3 Zarabanda by Enrique Granados.pdf,,,,,
Danza Espanola No. 4 (Villanesca),Enrique Granados,18,9,All,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Danza Espaola No 4 Villanesca by Enrique Granados.pdf,,,,,
Danza Guarani,Agustin Barrios Mandore,11,6,XIV,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Danza Guarani by Augustin Barrios.pdf,,,,,
Danza Mora,Francisco Tarrega,9,5,XI,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Danza Mora by Francisco Tarrega.pdf,,,,,
Danza Mora,Francisco Tarrega,18,8,All,Romantic,found,dada_gp,,"datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Danza Mora.gp3.tokens.txt","datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Danza Mora.gp3",,,
Danza Paraguaya,Agustin Barrios Mandore,10,5,X,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Danza Paraguaya No 1 by Agustin Barrios Mangore.pdf,,,,,
Dedicatoria,Enrique Granados,7,6,IX,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Dedicatoria by Enrique Granados.pdf,,,,,
Dedicatoria from 'Cuentos de la Juventud',Enrique Granados,7,6,X,Romantic,found,dada_gp,,"datasets/DadaGP-v1.1/G/Granados, Enrique/Granados, Enrique - Dedicatoria.gp4.tokens.txt","datasets/DadaGP-v1.1/G/Granados, Enrique/Granados, Enrique - Dedicatoria.gp4",,,
Diana Guarani,Agustin Barrios Mandore,14,8,All,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/barrios-diana.pdf,,,,,
"Diferencias Sobre ""Guardame Las Vacas""",Luys de Narvaez,8,5,V,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Diferencias Sobre Guardame Las Vacas by Luis de Narvaez.pdf,,,,,
Dinora,Agustin Barrios Mangore,7,7,XII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Dinora by Agustin Barrios Mangore.pdf,,,,,
Dinora,Agustin Barrios Mandore,8,6,XII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/barrios-dinora.pdf,,,,,
Divagacion (en Imitacion al Violin),Agustin Barrios Mangore,12,7,All,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Divagacion by Agustin Barrios Mangore.pdf,,,,,
Divagaciones Criollas,Agustin Barrios Mandore,7,5,VII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/barrios-criollas.pdf,,,,,
"Divertimento, Op. 40 no. 12",Mauro Giuliani,7,2,II,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/giuliani-op40-12.pdf,,,,,
Don Perez Freire (Tango),Agustin Barrios Mangore,8,7,All,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Don Perez Freire Tango by Agustin Barrios Mangore.pdf,,,,,
Dos Aires Populares Cubanos - II. Zapateado,Leo Brouwer,9,6,IX,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Estudios Sencillos (Study No 2) by Leo Brouwer.pdf,,,,,
Dos preludios - I,Joaquin Rodrigo,16,8,XII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Dos Preludes No 1 by Joaquin Rodrigo.pdf,,,,,
Dos Temas Populares Cubanos - Berceuse - Cancion de Cuna,Leo Brouwer,9,7,V,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Cancion De Cuna by Leo Brouwer.pdf,,,,,gaps_v1/musicxml/brouwer-berceuse.xml
Dos Temas Populares Cubanos - Les Yeux Sorciers - Ojos Brujos,Leo Brouwer,9,7,X,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Les Yeux Sorciers (Ojos Brujos) by Leo Brouwer.pdf,,,,,
Dos trompetas de la reina de Suecia (Two Trumpets of the Swedish Queen),Gaspar Sanz,2,2,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Dos Trompetas de la Reina de Suecia by Gaspar Sanz.pdf,,,,,
"Double, BWV 1002",J.S. Bach,8,4,IX,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV 1002 Double by Johann Sebastian Bach.pdf,,,,,
Douze Etudes - Etude No. 1,Heitor Villa-Lobos,12,5,X,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Concerto for Guitar and Orchestra 1 by Heitor Villa Lobos.pdf,,,,,
Douze Etudes - Etude No. 10,Heitor Villa-Lobos,13,7,X,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Etude No 10 by Heitor Villa-Lobos.pdf,,,,,
Douze Etudes - Etude No. 11,Heitor Villa-Lobos,10,9,XIV,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Etude No 11 In Em by Heitor Villa-Lobos.pdf,,,,,
Douze Etudes - Etude No. 12,Heitor Villa-Lobos,14,8,XII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Etude No 12 In Am by Heitor Villa-Lobos.pdf,,,,,
Douze Etudes - Etude No. 2,Heitor Villa-Lobos,14,8,XII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Concerto for Guitar and Orchestra 2 by Heitor Villa Lobos.pdf,,,,,
Douze Etudes - Etude No. 3,Heitor Villa-Lobos,14,7,XII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Etude No 3 by Heitor Villa-Lobos.pdf,,,,,
Douze Etudes - Etude No. 4,Heitor Villa-Lobos,12,9,All,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Etude No 4 in G by Heitor Villa Lobos.pdf,,,,,
Douze Etudes - Etude No. 5,Heitor Villa-Lobos,11,7,XII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Bachiana Brasileiras No 5 by Heitor Villa Lobos.pdf,,,,,
Douze Etudes - Etude No. 6,Heitor Villa-Lobos,9,8,XII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Etude No 6 in Em by Heitor Villa Lobos.pdf,,,,,
Douze Etudes - Etude No. 7,Heitor Villa-Lobos,13,7,All,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Etude No 7 in E by Heitor Villa Lobos.pdf,,,,,
Douze Etudes - Etude No. 8,Heitor Villa-Lobos,12,8,X,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Etude No 8 in E by Heitor Villa-Lobos.pdf,,,,,
Douze Etudes - Etude No. 9,Heitor Villa-Lobos,13,7,XIV,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Etude No 9 in F sharp Minor by Heitor Villa Lobos.pdf,,,,,
Dove son quei fieri occhi?,Anonymous,5,3,V,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Dove Son Quei Fieri Occhi by Anonymous.pdf,,,,,
"Ecossaise, Op. 33 no. 11",Mauro Giuliani,2,2,II,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Ecossaise by Mauro Giuliani.pdf,,,,,
Einleitende Etuden (Introductory Studies); Op. 60 no. 1,Fernando Sor,1,1,I,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 60 No 1 by Fernando Sor.pdf,,,,,
Einleitende Etuden (Introductory Studies); Op. 60 no. 10,Fernando Sor,2,1,I,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 60 No 10 by Fernando Sor.pdf,,,,,
Einleitende Etuden (Introductory Studies); Op. 60 no. 11,Fernando Sor,3,2,III,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 60 No 11 by Fernando Sor.pdf,,,,,
Einleitende Etuden (Introductory Studies); Op. 60 no. 12,Fernando Sor,4,2,V,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 60 No 12 in G Major by Fernando Sor.pdf,,,,,
Einleitende Etuden (Introductory Studies); Op. 60 no. 13,Fernando Sor,3,2,I,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 60 No 13 by Fernando Sor.pdf,,,,,
Einleitende Etuden (Introductory Studies); Op. 60 no. 14,Fernando Sor,3,3,III,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 60 No 14 in E Minor by Fernando Sor.pdf,,,,,
