Title,Composer,Difficulty,Reading,Max Position,Era,status,source,pdf_path,token_path,gp_path,scorehash,xml_path,file_path,ly_path
"Study, Op. 6 no. 6",Fernando Sor,8,4,XII,Classical,found,dada_gp,,"S/Sor, Fernando/Sor, Fernando - Etude N-6 En Re Majeur.gp4.tokens.txt",,,,,
"Study, Op. 6 no. 3",Fernando Sor,7,3,X,Classical,found,dada_gp,,"S/Sor, Fernando/Sor, Fernando - Estudio No. 3.gp4.tokens.txt",,,,,
El Delirio,Antonio Cano,9,6,X,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/El Delirio by Antonio Cano.pdf,,,,,,
El Marabino (Valse Venezolano),Antonio Lauro,12,5,All,Modern,found,dada_gp,,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/L/Lauro, Antonio/Lauro, Antonio - El Marabino.gp4.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/L/Lauro, Antonio/Lauro, Antonio - El Marabino.gp4",,,,
"Study, Op. 6 no. 12",Fernando Sor,7,4,VII,Classical,found,dada_gp,,"S/Sor, Fernando/Sor, Fernando - Estudio nss 12 en Sol M.gp3.tokens.txt",,,,,
"Study, Op. 48 no. 23",Mauro Giuliani,9,4,VII,Classical,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Opus 30 No 23 Grazioso by Mauro Giuliani.pdf,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/G/Giuliani, Mauro/Giuliani, Mauro - Maestoso, Opus 48.gp3.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/G/Giuliani, Mauro/Giuliani, Mauro - Maestoso, Opus 48.gp3",,,,
"Study, Op. 35 no. 14",Fernando Sor,2,2,III,Classical,found,mutopia_midi,,,,,,/home/aser/programming/thesis/rubricnet/symbolic_data/mutopia_midi/Sor_Etude_Opus35_14.mid,
"Study, Op. 31 no. 19",Fernando Sor,7,4,X,Classical,found,dada_gp,,"S/Sor, Fernando/Sor, Fernando - Study No. 19.gp4.tokens.txt",,,,,
Elogio De La Danza,Leo Brouwer,9,8,X,Modern,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Eligio De La Danza by Leo Brouwer.pdf,"datasets/DadaGP-v1.1/B/Brouwer, Leo/Brouwer, Leo - Eligio De La Danza.gp4.tokens.txt","datasets/DadaGP-v1.1/B/Brouwer, Leo/Brouwer, Leo - Eligio De La Danza.gp4",,,,
"Study, Op. 31 no. 10",Fernando Sor,8,4,X,Classical,found,dada_gp,,"S/Sor, Fernando/Sor, Fernando - Estudio No. 10.gp4.tokens.txt",,,,,
Endecha,Francisco Tarrega,6,6,X,Romantic,found,dada_gp,,"datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Endecha - Oremus (Preludios).gp3.tokens.txt","datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Endecha - Oremus (Preludios).gp3",,,,
Entree De Luth,Robert Ballard,11,6,VII,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Entree de luth by Robert Ballard.pdf,,,,,,
Einleitende Etuden (Introductory Studies); Op. 60 no. 13,Fernando Sor,3,2,I,Classical,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Opus 13 No 3 Divertimento in C by Fernando Sor.pdf,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Andantino (op.60).gp3.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Andantino (op.60).gp3",,,,
Grand Vals,Francisco Tarrega,11,7,X,Romantic,found,dada_gp,,"datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Gran Vals en La (Grand Waltz in A).gp3.tokens.txt","datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Gran Vals en La (Grand Waltz in A).gp3",,,,
Einleitende Etuden (Introductory Studies); Op. 60 no. 10,Fernando Sor,2,1,I,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Estudio No. 10.gp4.tokens.txt","datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Estudio No. 10.gp4",,,,
"Study, Op. 60 no. 20",Matteo Carcassi,12,4,XII,Classical,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Opus 59 No 20 by Matteo Carcassi.pdf,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/C/Carcassi, Mateo/Carcassi, Mateo - Allegro (op. 60, No. 20).gp4.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/C/Carcassi, Mateo/Carcassi, Mateo - Allegro (op. 60, No. 20).gp4",,,gaps_v1/musicxml/Opus 60 No 7 in A Minor by Matteo Carcassi.xml,
"Double, BWV 1002",Johann Sebastian Bach,8,4,IX,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Sarabande - Bwv 1002.gp4.tokens.txt","datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Sarabande - Bwv 1002.gp4",,,,
Douze Etudes - Etude No. 10,Heitor Villa-Lobos,13,7,X,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Etude No 10 by Heitor Villa-Lobos.pdf,,,,,,
Douze Etudes - Etude No. 11,Heitor Villa-Lobos,10,9,XIV,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Etude No 11 In Em by Heitor Villa-Lobos.pdf,,,,,,
Douze Etudes - Etude No. 6,Heitor Villa-Lobos,9,8,XII,Modern,found,dada_gp,,"datasets/DadaGP-v1.1/L/Heitor Villa-Lobos/Villa-Lobos, Heitor - Etude No. 6.gp4.tokens.txt","datasets/DadaGP-v1.1/L/Heitor Villa-Lobos/Villa-Lobos, Heitor - Etude No. 6.gp4",,,,
Douze Etudes - Etude No. 8,Heitor Villa-Lobos,12,8,X,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Etude No 8 in E by Heitor Villa-Lobos.pdf,,,,,,
Dove son quei fieri occhi?,Anonymous,5,3,V,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Dove Son Quei Fieri Occhi by Anonymous.pdf,,,,,,
"Study, Op. 60 no. 4",Fernando Sor,1,2,I,Classical,found,dada_gp,,"S/Sor, Fernando/Sor, Fernando - Andantino (op.60).gp3.tokens.txt",,,,,
"Study, Op. 60 no. 24",Fernando Sor,5,3,V,Classical,found,dada_gp,,"S/Sor, Fernando/Sor, Fernando - Andantino (op.60).gp3.tokens.txt",,,,,
"Study, Op. 60 no. 22",Fernando Sor,7,3,VI,Classical,found,dada_gp,,"S/Sor, Fernando/Sor, Fernando - Andantino (op.60).gp3.tokens.txt",,,,,
"Study, Op. 60 no. 21",Fernando Sor,8,4,X,Classical,found,dada_gp,,"S/Sor, Fernando/Sor, Fernando - Andantino (op.60).gp3.tokens.txt",,,,,
"Study, Op. 60 no. 20",Fernando Sor,3,2,V,Classical,found,dada_gp,,"S/Sor, Fernando/Sor, Fernando - Andantino (op.60).gp3.tokens.txt",,,,,
Grand Valse Brilliante; Op. 18,Frederic Chopin,17,8,X,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 18 No 1 by Frederic Chopin.pdf,,,,,,
Greensleeves,"Anonymous, arr. Francis Cutting",6,4,V,Renaissance,found,dada_gp,,datasets/DadaGP-v1.1/A/Anonymous/Anonymous - The Greensleeves.gp3.tokens.txt,datasets/DadaGP-v1.1/A/Anonymous/Anonymous - The Greensleeves.gp3,,,,
Miniature No. 12: Prelude,Alain Reiher,7,4,VII,Modern,found,dada_gp,,"datasets/DadaGP-v1.1/R/Reiher, Alain/Reiher, Alain - Miniature No. 12.gp4.tokens.txt","datasets/DadaGP-v1.1/R/Reiher, Alain/Reiher, Alain - Miniature No. 12.gp4",,,,
Minuet,Johann Sebastian Bach,5,2,III,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Minuet #2, Cellosuite #1.gp4.tokens.txt","datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Minuet #2, Cellosuite #1.gp4",,,,
Minuet (Pg. 3),Johann Sebastian Bach,5,2,V,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Minuet in G (3).gp4.tokens.txt","datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Minuet in G (3).gp4",,,,
"Minuet from 'Pensees Melodiques', Op. 38 No. 1",Jose Ferrer,5,3,V,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Minuet Opus 38 No 1 by Jose Ferrer.pdf,,,,,,
"Minuet I, BWV 1007",Johann Sebastian Bach,8,5,VI,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Sarabande (From Cello Suite I [BWV 1007]).gp4.tokens.txt","datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Sarabande (From Cello Suite I [BWV 1007]).gp4",,,,
"Minuet II, BWV 1007",Johann Sebastian Bach,6,4,V,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Suite No 1 BWV 1007.gp3.tokens.txt","datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Suite No 1 BWV 1007.gp3",,,,
Minuet In A Minor,Henry Purcell,6,4,VIII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Minuet 2 in A Minor by Henry Purcell.pdf,,,,,,
Minuet In E,Anonymous,6,3,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Minuet in E by Anonymous.pdf,,,,,,
Menuett,Johann Krieger,1,1,I,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Menuett by Johann Krieger.pdf,,,,,,
Minuet in G,Anonymous,4,2,II,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Minuet in G by Anonymous.pdf,,,,,,
"Minuet, K2",Wolfgang Amadeus Mozart,5,4,IX,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Minuet 2 in A by Wolfgang Amadeus Mozart.pdf,,,,,,
Minueto en Mi,Agustin Barrios Mangore,8,6,IX,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Minueto En Mi by Agustin Barrios Mangore.pdf,,,,,,
Minueto en Si Mayor,Agustin Barrios Mangore,8,8,IX,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Minueto En Si Mayor by Agustin Barrios Mangore.pdf,,,,,,
Pezzo Tedesco,Anonymous,3,2,I,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Pezzo Tedesco by Anonymous.pdf,,,,,,
"Moderato, Op. 31 no. 1",Fernando Sor,1,1,I,Classical,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Opus 31 No 16 by Fernando Sor.pdf,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Op. 31 - No 1 (Study In C Major).gp4.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Op. 31 - No 1 (Study In C Major).gp4",,,,
"Moderato, Op. 35 no. 17",Fernando Sor,5,3,V,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 31 No 17 by Fernando Sor.pdf,,,,,gaps_v1/musicxml/Opus 35 No 17 in D by Fernando Sor.xml,
Monotonia,Rodrigo Riera,5,4,III,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Monotonia by Rodrigo Riera.pdf,,,,,,
Marieta,Francisco Tarrega,8,6,X,Romantic,found,dada_gp,,"datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Marieta.gp3.tokens.txt","datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Marieta.gp3",xw1wc,datasets/gaps_v1/musicxml/xw1wc.xml,gaps_v1/musicxml/tarrega-marieta.xml,
Marieta (Mazurka),Francisco Tarrega,8,7,X,Romantic,found,dada_gp,,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Marieta.gp3.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Marieta.gp3",xw1wc,datasets/gaps_v1/musicxml/xw1wc.xml,gaps_v1/musicxml/tarrega-marieta.xml,
Prelude No. 13,Francisco Tarrega,6,6,XI,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Prelude 13 in D by Francisco Tarrega.pdf,,,,,,
Prelude No. 1,Francisco Tarrega,7,5,X,Romantic,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Prelude 1 in D Minor by Francisco Tarrega.pdf,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Preludio 1.gp3.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Preludio 1.gp3",,,,
Matachin,Gaspar Sanz,5,3,IX,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/S/Sanz, Gaspar/Sanz, Gaspar - MATACHIN.gp3.tokens.txt","datasets/DadaGP-v1.1/S/Sanz, Gaspar/Sanz, Gaspar - MATACHIN.gp3",,,,
Mazurca en sol,Francisco Tarrega,8,6,XII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Mazurca En Sol by Francisco Tarrega.pdf,,,,,,
Mazurka,Francisco Tarrega,6,6,X,Romantic,found,dada_gp,,"datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Mazurka (2).gp4.tokens.txt","datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Mazurka (2).gp4",6Sswc,datasets/gaps_v1/musicxml/6Sswc.xml,,
Prelude and Allegro,Santiago de Murcia,5,2,V,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Prelude and Allegro by Santiago de Murcia.pdf,,,,,,
"Prelude (from Suite #1 for Violoncello, BWV 1007)",Johann Sebastian Bach,6,4,VII,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Suite #1 in G Major (Bass Solo).gp3.tokens.txt","datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Suite #1 in G Major (Bass Solo).gp3",,,,
Melancholy Galliard,John Dowland,8,4,V,Renaissance,found,dada_gp,,"D/Dowland, John/Dowland, John - Melancholy Gaillard.gp4.tokens.txt",,,,,
Prelude,Johann Sebastian Bach,9,5,VII,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Bwv1007 - Prelude.gp4.tokens.txt","datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Bwv1007 - Prelude.gp4",,,,
Pieza Sin Titulo No. 3,Leo Brouwer,10,7,XII,Modern,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Estudios Sencillos (Study No 3) by Leo Brouwer.pdf,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/B/Brouwer, Leo/Brouwer, Leo - Pieza Sin Titulo No.3.gp4.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/B/Brouwer, Leo/Brouwer, Leo - Pieza Sin Titulo No.3.gp4",,,,
"Menuet 2 (from Suite #1 for Violoncello, BWV 1007)",Johann Sebastian Bach,6,4,V,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Menuet 1are suite violoncelle rC mineur.gp4.tokens.txt","datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Menuet 1are suite violoncelle rC mineur.gp4",,,,
Moonlight Sonata,Ludwig van Beethoven,12,7,X,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/B/Beethoven/Beethoven - Moonlight Sonata  Op. 27, No. 2.gp4.tokens.txt","datasets/DadaGP-v1.1/B/Beethoven/Beethoven - Moonlight Sonata  Op. 27, No. 2.gp4",y41wc,datasets/gaps_v1/musicxml/y41wc.xml,,
Pericon,Agustin Barrios Mangore,13,7,XIII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Pericon by Agustin Barrios Mangore.pdf,,,,,,
Mrs. White's Nothing,John Dowland,7,6,III,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Mrs White Nothing by John Dowland.pdf,,,,,,
Partita I: BWV 1002: iv. Double (Corrente),Johann Sebastian Bach,13,6,X,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV1002 Corrente by Johann Sebastian Bach.pdf,,,,,,
Partita I: BWV 1002: v.  Sarabanda,Johann Sebastian Bach,8,5,VI,Baroque,found,dada_gp,,"B/Bach, Johann Sebastian/Bach, Johann Sebastian - Sarabande - Bwv 1002.gp4.tokens.txt",,,,,
Partita I: BWV 1002: vi. Double (Sarabande),Johann Sebastian Bach,8,4,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV1002 Double by Johann Sebastian Bach.pdf,,,,,,
Partita I: BWV 1002: vii. Tempo di Borea,Johann Sebastian Bach,9,6,VII,Baroque,found,dada_gp,,"B/Bach, Johann Sebastian/Bach, Johann Sebastian - Sarabande - Bwv 1002.gp4.tokens.txt",,,,,
Partita I: BWV 1002: viii. Double (Tempo di Borea),Johann Sebastian Bach,12,5,VII,Baroque,found,dada_gp,,"B/Bach, Johann Sebastian/Bach, Johann Sebastian - Sarabande - Bwv 1002.gp4.tokens.txt",,,,,
"Partita II, BWV 1004: v. Ciaccona",Johann Sebastian Bach,19,8,X,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV 1004 Ciaccona by Johann Sebastian Bach.pdf,,,,,,
Partita III: BWV 1006: i. Preludio,Johann Sebastian Bach,17,9,X,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV 1006 Preludio by Johann Sebastian Bach.pdf,,,,,,
Partita III: BWV 1006: iii. Gavotte en Rondeau,Johann Sebastian Bach,13,9,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV 1006a iii Gavotte En Rondeau by Johann Sebastian Bach.pdf,,,,,,
"Partita in A Minor, BWV 1013: i. Allemande",Johann Sebastian Bach,12,7,All,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/bach-bwv1013-allemande.pdf,,,,,,
"Partita in A Minor, BWV 1013: iii. Sarabande",Johann Sebastian Bach,11,7,All,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV1013 Sarabande by Johann Sebastian Bach.pdf,,,,,,
"Partita in A Minor, BWV 1013: iv. Bourree Anglaise",Johann Sebastian Bach,9,6,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/bach-bwv1013-bourree-anglaise.pdf,,,,,,
Passacaille,Robert de Visee,7,4,VII,Baroque,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Passacaille by Robert de Visee.pdf,"datasets/DadaGP-v1.1/D/De Visee, Robert/De Visee, Robert - Passacaille En Mi Mineur.gp4.tokens.txt","datasets/DadaGP-v1.1/D/De Visee, Robert/De Visee, Robert - Passacaille En Mi Mineur.gp4",,,,
Partita I: BWV 1002: ii. Double (Allemande),Johann Sebastian Bach,13,6,VIII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV 1002 Double by Johann Sebastian Bach.pdf,,,,,gaps_v1/musicxml/bwv1002-double1-bach.xml,
Passacaille,Silvius Leopold Weiss,11,5,IX,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Passacaille by Silvius Leopold Weiss.pdf,,,,,,
Mrs. Winter's Jump,John Dowland,5,4,IV,Renaissance,found,dada_gp,,"datasets/DadaGP-v1.1/D/Dowland, John/Dowland, John - Mistress Winter_'s Jump.gp3.tokens.txt","datasets/DadaGP-v1.1/D/Dowland, John/Dowland, John - Mistress Winter_'s Jump.gp3",,,,
Musette,Johann Sebastian Bach,3,1,II,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Musette in D Major (2).gp4.tokens.txt","datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Musette in D Major (2).gp4",,,,
Pavana,Francisco Tarrega,9,7,IX,Romantic,found,dada_gp,,"datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Pavana (2).gp4.tokens.txt","datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Pavana (2).gp4",3pswc,datasets/gaps_v1/musicxml/3pswc.xml,,
Ode to Joy,Ludwig van Beethoven,2,1,II,Romantic,found,dada_gp,,datasets/DadaGP-v1.1/B/Beethoven/Beethoven - Ode To Joy (2).gp3.tokens.txt,datasets/DadaGP-v1.1/B/Beethoven/Beethoven - Ode To Joy (2).gp3,,,,
Pavana,Gaspar Sanz,5,3,VII,Baroque,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Pavana by Gaspar Sanz.pdf,"datasets/DadaGP-v1.1/S/Sanz, Gaspar/Sanz, Gaspar - Pavana (from 5 dances).gp3.tokens.txt","datasets/DadaGP-v1.1/S/Sanz, Gaspar/Sanz, Gaspar - Pavana (from 5 dances).gp3",,,,
Oracion,Agustin Barrios Mangore,8,6,VII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Oracion by Agustin Barrios Mangore.pdf,,,,,,
Oracion por Todos,Agustin Barrios Mangore,7,6,VIII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Oracion por Todos by Augustin Barrios Mangore.pdf,,,,,,
Oremus,Francisco Tarrega,6,5,X,Romantic,found,dada_gp,,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Endecha - Oremus (Preludios).gp3.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Endecha - Oremus (Preludios).gp3",,,,
Orlando Sleepeth,John Dowland,4,4,II,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Orlando Sleepeth by John Dowland.pdf,,,,,,
Overture,Ferdinando Carulli,8,4,X,Classical,found,dada_gp,,"C/Carulli, Ferdinando/Carulli, Ferdinando - Overture.gp4.tokens.txt",,,,,
Packington's Pound,Anonymous,2,1,I,Renaissance,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Packingtons Pound by anonymous.pdf,datasets/DadaGP-v1.1/A/Anonymous/Anonymous - Packington_'s Pound.gp3.tokens.txt,datasets/DadaGP-v1.1/A/Anonymous/Anonymous - Packington_'s Pound.gp3,,,,
Parabola,Leo Brouwer,18,10,X,Modern,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Parabola by Leo Brouwer.pdf,"datasets/DadaGP-v1.1/B/Brouwer, Leo/Brouwer, Leo - Parabola.gp4.tokens.txt","datasets/DadaGP-v1.1/B/Brouwer, Leo/Brouwer, Leo - Parabola.gp4",,,,
Passacaille (from Great Suite #7 for Harpsichord),George Frideric Handel,9,4,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Suite No 7 Passacaille by Georg Friedrich Handel.pdf,,,,,,
"Partita for Lute, BWV 997: Sarabande",Johann Sebastian Bach,8,6,VII,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Sarabande - Bwv 997.gp4.tokens.txt","datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Sarabande - Bwv 997.gp4",,,,
Pavane,Gabriel Faure,11,6,X,Romantic,found,dada_gp,,"datasets/DadaGP-v1.1/F/Faure, Gabriel/Faure, Gabriel - Pavane. Op. 50.gp3.tokens.txt","datasets/DadaGP-v1.1/F/Faure, Gabriel/Faure, Gabriel - Pavane. Op. 50.gp3",,,,
Maria (Gavotta),Francisco Tarrega,12,7,All,Romantic,found,dada_gp,,"T/Tarrega, Francisco/Tarrega, Francisco - Maria (Gavotte).gp4.tokens.txt",,,,,
"Prelude no. 9, TI i-4",Francisco Tarrega,9,7,XII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Estudio No 9 by Francisco Tarrega.pdf,,,,,,
"Prelude, BWV 999",Johann Sebastian Bach,7,4,IX,Baroque,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/BWV999 Prelude in D minor by Johann Sebastian Bach.pdf,"datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Prelude - Bwv 999.gp4.tokens.txt","datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Prelude - Bwv 999.gp4",,,,
La Catedral - ii. Andante Religioso,Agustin Barrios Mangore,8,6,XI,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/La Catedral (Andante Religioso) by Augustin Barrios Mangore.pdf,,,,,,
Sarabande,George Frideric Handel,6,3,VIII,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/H/Handel, George Friedrick/Handel, George Friedrick - Sarabande Vari,e.gp3.tokens.txt","datasets/DadaGP-v1.1/H/Handel, George Friedrick/Handel, George Friedrick - Sarabande Vari,e.gp3",,,,
La Cavalleria de Napoles,Gaspar Sanz,3,4,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/La Cavalleria de Napoles con dos Clarines by Gaspar Sanz.pdf,,,,,,
Sarabande,Anonymous,4,3,III,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Sarabande by Anonymous.pdf,,,,,,
Junto a tu Corazon,Agustin Barrios Mangore,9,5,XIV,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Junto A Tu Corazn (Opus 8 No 1) by Agustin Barrios Mangore.pdf,,,,,,
Saltarello,Anonymous,2,1,I,Renaissance,found,dada_gp,,datasets/DadaGP-v1.1/A/Anonymous/Anonymous - Saltarello.gp3.tokens.txt,datasets/DadaGP-v1.1/A/Anonymous/Anonymous - Saltarello.gp3,,,,
La Maja de Goya,Enrique Granados,17,9,All,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/La Maja De Goya by Enrique Granados.pdf,,,,,,
Rujero,Gaspar Sanz,3,1,III,Baroque,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Rujero by Gaspar Sanz.pdf,"datasets/DadaGP-v1.1/S/Sanz, Gaspar/Sanz, Gaspar - Rujero  (from 5 dances).gp3.tokens.txt","datasets/DadaGP-v1.1/S/Sanz, Gaspar/Sanz, Gaspar - Rujero  (from 5 dances).gp3",,,,
Rosita,Francisco Tarrega,9,7,X,Romantic,found,dada_gp,,"datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Rosita.gp3.tokens.txt","datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Rosita.gp3",vV1wc,datasets/gaps_v1/musicxml/vV1wc.xml,,
Lady Hammond's Alman,John Dowland,8,4,IV,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Lady Hammonds Alman by John Dowland.pdf,,,,,,
